tenure,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,AverageCharges,Churn
1,DSL,No,Month-to-month,Electronic check,29.85,29.85,29.85,0
34,DSL,No,One year,Mailed check,56.95,1889.5,55.57,0
2,DSL,No,Month-to-month,Mailed check,53.85,108.15,54.08,1
45,DSL,Yes,One year,Bank transfer (automatic),42.3,1840.75,40.91,0
2,Fiber optic,No,Month-to-month,Electronic check,70.7,151.65,75.82,1
8,Fiber optic,No,Month-to-month,Electronic check,99.65,820.5,102.56,1
22,Fiber optic,No,Month-to-month,Credit card (automatic),89.1,1949.4,88.61,0
10,DSL,No,Month-to-month,Mailed check,29.75,301.9,30.19,0
28,Fiber optic,Yes,Month-to-month,Electronic check,104.8,3046.05,108.79,1
62,DSL,No,One year,Bank transfer (automatic),56.15,3487.95,56.26,0
13,DSL,No,Month-to-month,Mailed check,49.95,587.45,45.19,0
16,No,No internet service,Two year,Credit card (automatic),18.95,326.8,20.42,0
58,Fiber optic,No,One year,Credit card (automatic),100.35,5681.1,97.95,0
49,Fiber optic,No,Month-to-month,Bank transfer (automatic),103.7,5036.3,102.78,1
25,Fiber optic,Yes,Month-to-month,Electronic check,105.5,2686.05,107.44,0
69,Fiber optic,Yes,Two year,Credit card (automatic),113.25,7895.15,114.42,0
52,No,No internet service,One year,Mailed check,20.65,1022.95,19.67,0
71,Fiber optic,No,Two year,Bank transfer (automatic),106.7,7382.25,103.98,0
10,DSL,Yes,Month-to-month,Credit card (automatic),55.2,528.35,52.84,1
21,Fiber optic,No,Month-to-month,Electronic check,90.05,1862.9,88.71,0
1,DSL,No,Month-to-month,Electronic check,39.65,39.65,39.65,1
12,No,No internet service,One year,Bank transfer (automatic),19.8,202.25,16.85,0
1,No,No internet service,Month-to-month,Mailed check,20.15,20.15,20.15,1
58,DSL,Yes,Two year,Credit card (automatic),59.9,3505.1,60.43,0
49,DSL,Yes,Month-to-month,Credit card (automatic),59.6,2970.3,60.62,0
30,DSL,No,Month-to-month,Bank transfer (automatic),55.3,1530.6,51.02,0
47,Fiber optic,No,Month-to-month,Electronic check,99.35,4749.15,101.05,1
1,DSL,No,Month-to-month,Electronic check,30.2,30.2,30.2,1
72,DSL,Yes,Two year,Credit card (automatic),90.25,6369.45,88.46,0
17,DSL,No,Month-to-month,Mailed check,64.7,1093.1,64.3,1
71,Fiber optic,Yes,Two year,Credit card (automatic),96.35,6766.95,95.31,0
2,Fiber optic,No,Month-to-month,Credit card (automatic),95.5,181.65,90.82,0
27,DSL,Yes,One year,Mailed check,66.15,1874.45,69.42,0
1,No,No internet service,Month-to-month,Bank transfer (automatic),20.2,20.2,20.2,0
1,DSL,No,Month-to-month,Bank transfer (automatic),45.25,45.25,45.25,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),99.9,7251.7,100.72,0
5,Fiber optic,No,Month-to-month,Electronic check,69.7,316.9,63.38,1
46,Fiber optic,No,Month-to-month,Credit card (automatic),74.8,3548.3,77.14,0
34,Fiber optic,No,Month-to-month,Electronic check,106.35,3549.25,104.39,1
11,Fiber optic,No,Month-to-month,Bank transfer (automatic),97.85,1105.4,100.49,1
10,DSL,No,One year,Mailed check,49.55,475.7,47.57,0
70,DSL,No,Two year,Credit card (automatic),69.2,4872.35,69.6,0
17,No,No internet service,One year,Mailed check,20.75,418.25,24.6,0
63,DSL,Yes,Two year,Credit card (automatic),79.85,4861.45,77.17,0
13,DSL,Yes,Month-to-month,Electronic check,76.2,981.45,75.5,0
49,Fiber optic,No,Month-to-month,Electronic check,84.5,3906.7,79.73,0
2,DSL,No,Month-to-month,Mailed check,49.25,97.0,48.5,0
2,Fiber optic,No,Month-to-month,Electronic check,80.65,144.15,72.08,1
52,DSL,Yes,Two year,Credit card (automatic),79.75,4217.8,81.11,0
69,DSL,Yes,Two year,Credit card (automatic),64.15,4254.1,61.65,0
43,Fiber optic,No,Month-to-month,Electronic check,90.25,3838.75,89.27,0
15,Fiber optic,No,Month-to-month,Credit card (automatic),99.1,1426.4,95.09,1
25,DSL,Yes,Month-to-month,Credit card (automatic),69.5,1752.65,70.11,0
8,Fiber optic,No,Month-to-month,Credit card (automatic),80.65,633.3,79.16,1
60,DSL,Yes,One year,Credit card (automatic),74.85,4456.35,74.27,0
18,Fiber optic,No,Month-to-month,Electronic check,95.45,1752.55,97.36,1
63,Fiber optic,No,One year,Credit card (automatic),99.65,6311.2,100.18,0
66,Fiber optic,Yes,One year,Electronic check,108.45,7076.35,107.22,0
34,No,No internet service,Two year,Credit card (automatic),24.95,894.3,26.3,0
72,Fiber optic,Yes,Two year,Credit card (automatic),107.5,7853.7,109.08,0
47,Fiber optic,No,Month-to-month,Electronic check,100.5,4707.1,100.15,0
60,Fiber optic,No,Month-to-month,Bank transfer (automatic),89.9,5450.7,90.84,0
72,DSL,No,Two year,Bank transfer (automatic),42.1,2962.0,41.14,0
18,DSL,Yes,One year,Credit card (automatic),54.4,957.1,53.17,0
9,Fiber optic,No,Month-to-month,Electronic check,94.4,857.25,95.25,1
3,DSL,Yes,Month-to-month,Electronic check,75.3,244.1,81.37,0
47,Fiber optic,No,One year,Electronic check,78.9,3650.35,77.67,0
31,DSL,Yes,Two year,Mailed check,79.2,2497.2,80.55,0
50,No,No internet service,Two year,Bank transfer (automatic),20.15,930.9,18.62,0
10,Fiber optic,No,Month-to-month,Mailed check,79.85,887.35,88.74,0
1,DSL,Yes,Month-to-month,Mailed check,49.05,49.05,49.05,0
52,No,No internet service,One year,Electronic check,20.4,1090.65,20.97,0
64,Fiber optic,Yes,Two year,Bank transfer (automatic),111.6,7099.0,110.92,0
62,No,No internet service,Two year,Bank transfer (automatic),24.25,1424.6,22.98,0
3,DSL,Yes,Month-to-month,Bank transfer (automatic),64.5,177.4,59.13,0
56,Fiber optic,No,One year,Electronic check,110.5,6139.5,109.63,0
46,DSL,No,One year,Credit card (automatic),55.65,2688.85,58.45,0
8,DSL,No,Month-to-month,Mailed check,54.65,482.25,60.28,0
30,DSL,No,Month-to-month,Electronic check,74.75,2111.3,70.38,0
